MASS ABSORBTION COEFFICIENTS

Comments:

Each elements data starts with a line including the word "BEGIN" folllowed
by (in order):
	Element's name
	Chemical symbol
	Z - atomic number
	A - Atomic weight
	Density (in gr/cm^3)

Following the opening line the data is written as pairs of numbers.  The first
entry of the pair is photon energy (in keV) and the second is mass absorbtion
coefficient (in cm^2/gr).  The elements data ends with the word "END".  Blank
lines and comments are allowed.

begin	Vacuum		_V	 0	  1e-18		 1e-18

	  1e-3		    1e-18
	  1e0		    1e-18
	  1e3		    1e-18

end

begin	Hydrogen	H	 1	  1.008		 0.00008375

	  1.000		    7.217
	  1.500		    2.148
	  2.000		    1.059
	  3.000		    0.5612
	  5.000		    0.4193
	 10.000		    0.3854
	 15.000		    0.3764
	 20.000		    0.3695
	 30.000		    0.3570
	 50.000		    0.3355
	100.000		    0.2944

end

begin	Helium		He	 2	  4.003		 0.0001663

	  1.000		   60.84
	  1.500		   16.76
	  2.000		    6.863
	  3.000		    2.007
	  5.000		    0.5766
	 10.000		    0.2476
	 15.000		    0.2092
	 20.000		    0.1960
	 30.000		    0.1838
	 50.000		    0.1703
	100.000		    0.1486

end

begin	Lithium		Li	 3	  6.941		 0.5340

	  1.000		  233.9
	  1.500		   66.68
	  2.000		   27.07
	  3.000		    7.549
	  5.000		    1.619
	 10.000		    0.3395
	 15.000		    0.2176
	 20.000		    0.1856
	 30.000		    0.1644
	 50.000		    0.1488
	100.000		    0.1289

end

begin	Beryllium	Be	 4	  9.012		 1.848

	  1.000		  604.1
	  1.500		  179.7
	  2.000		   74.69
	  3.000		   21.27
	  5.000		    4.369
	 10.000		    0.6466
	 15.000		    0.3070
	 20.000		    0.2251
	 30.000		    0.1792
	 50.000		    0.1554
	100.000		    0.1328

end

begin	Boron		B	 5	 10.81		 2.370

	  1.000		 1229.
	  1.500		  376.6
	  2.000		  159.7
	  3.000		   46.67
	  5.000		    9.683
	 10.000		    1.255
	 15.000		    0.4827
	 20.000		    0.3014
	 30.000		    0.2063
	 50.000		    0.1665
	100.000		    0.1391

end

begin	Carbon		C	 6	 12.00		 1.700

	  1.000		 2211.
	  1.500		  700.2
	  2.000		  302.6
	  3.000		   90.33
	  5.000		   19.12
	 10.000		    2.373
	 15.000		    0.8071
	 20.000		    0.4420
	 30.000		    0.2562
	 50.000		    0.1871
	100.000		    0.1514

end

begin	Nitrogen	N	 7	 14.01		 0.001165

	  1.000		 3311.
	  1.500		 1083.
	  2.000		  476.9
	  3.000		  145.6
	  5.000		   31.44
	 10.000		    3.879
	 15.000		    1.236
	 20.000		    0.6178
	 30.000		    0.3066
	 50.000		    0.1980
	100.000		    0.1529

end

